,profileIdHashed,Position,Company,position_type,company_type,,,,
102,4c5dc4604872ff493add251f36df445b81167e2c,Software Developer,Kemet Koding Solutions,,,,,,
103,a31695c6d4a826682749e7841168807b1904183b,"Sr. Manager, Supply Chain",Gigamon,,,,,,
104,b627a40b038b99d965c783a8f422ac7ab2da0ad0,Senior Geotechnical Consultant,Ground Technologies Pty Ltd,,,,,,
105,3319d9bfb2f5b3d9fa20ed5b409b2d2fd61c7576,Business Planning & Management Global OPS Centre of Excellence,HP,,,,,,
106,e9e1248cd736dedc1a56c5ec0364d0db711586a3,Sales Manager,Foxconn Technology Group,,,,,,
107,95d1e67dd45e36a79c3967bb5534bf33eb62165e,Data Scientist,Cloudera,,,,,,
108,76fe3be2a9943b061a91ae6b2ede63016057ad7f,Business Performance Advisor,Insperity,,,,,,
109,e480ca45164a4956387a2d37056ab1a6dbb4db30,Senior Engineer,HP,,,,,,
110,e5f9a427f86e6724dff510715a5cd3622807082f,Senior Scientist,Accelero Biostructures,,,,,,
111,b12cc9a4b18a82a7bb37a195a9965269979a506a,The general manager,Cast rare earth ceramic filter.,,,,,,
112,08e0ce83a6b37f2c388b43732b69ca7d211d0736,Chief Operating Officer (COO),San Diego Workforce Partnership,,,,,,
113,b4f523745012146ab042ec67607f6e24eac5f091,Business Development Manager,PSI Engineering,,,,,,
114,49ffb5c2620e91d5b6e4262761b0521a3e5616ae,"Chief Magic Maker, Accelerated Solutions Environment",Capgemini,,,,,,
115,b6dad198a7e5d29989aee17add478a0728e531c6,LeEco,LeEco,,,,,,
116,cef88a0e103ec9c8896c4367cdad7b0461052616,Customer Account Executive,Comcast Cable,,,,,,
117,a079cbd68c6f29d2f585b9055649a1d7dc85d750,Founder and President,Unlock You | Angela Noble Life Coaching,,,,,,
118,3149752bc0827537682b7bd825e88d16553153a0,Founder,Bearly Marketing,,,,,,
119,24668e07b09d5f2c65ca108c8db414486dab8840,Operations Director,Niroga Institute,,,,,,
120,94c493ad55469b941ae42cffa1538531d9c979b5,Executive Assistant,è¥¿é¨å­,,,,,,
121,6a8b689dc2b5d7b2c1a6f3207d483e54b170ef22,Territory Sales Manager,BlackBerry,,,,,,
122,3eb44af2bee91cdf35540d1ca360f7d45a4d35f1,Enterprise Account Executive,Appen,,,,,,
123,4edc9d0d3befe1356ff7fd167d32f045ac10908c,Chief Executive Officer,Montijo Mouton Consulting,,,,,,
124,fc616a2e0dd03516c68097debe44339f10ff0f12,Director of Product Management,TapClicks,,,,,,
125,cb68177b70ec0c35aea6abc38d189942a5e7d04e,Executive Customer Quality Director - Data Center Group ,Lenovo,,,,,,
126,51d796efc362319782209e2200aa99a3c5ac9279,"Vice President, Data Governance, Instrumentation & Data Architecture - Disney Streaming Services",The Walt Disney Company,,,,,,
127,fc6a5704b7bce5835f74184c735fff6f7db73509,Sr. Executive Leadership Sourcer,Intel Corporation,,,,,,
128,69ad0b00a118cc8833d4d3660ca8d8e219965e8b,Director Business Strategy,Freelance Consultant,,,,,,
129,a45a5592eea9a0bbc1dcdcf6005e9707e7753826,Retired,Velaga  ,,,,,,
130,d359f63104b4276b3c6e40f74284e876d9be6349,Senior Machine Learning Engineer,Iron Mountain,,,,,,
131,6f56bf22e33415ad7058a731ac3b24be4fdb70c1,Deep Learning / AI Manager,Salesforce,,,,,,
132,a1d766cdcc694394fccc8608b4580e8081afb3a6,Senior Associate Director of Admission,Cornell Johnson Graduate School of Management,,,,,,
133,3cba97a22643a4911a7bf22025f1ea2b1d607bcf,Lead Data Scientist,Community Data Platforms,,,,,,
134,cc59a6f221c2e814f81ba1ff0e7b96bf8d873b0e,Director,Amplify Analytix,,,,,,
135,cfc2e9c755c133dfff56e6f2a7f9a071b29c007f,"Chief of Staff, Technology and Manufacturing Group",Intel Corporation,,,,,,
136,a0d212c4f40577eefb008c3b6fa1a9f29c7d7e34,Advanced Operations Specialist of GP Department,NNIT,,,,,,
137,f6f53ac4be9bfe9c546a57bd7dbe67f91e261a70,International Recruiter,Goya Development Operations Network (GoyaDON),,,,,,
138,5dd40e6c6563fc23e98c42cd62bf4121076453f8,"Senior Customer Success Manager, Enterprise","Hired, Inc.",,,,,,
